term,estimate,std.error,statistic,p.value,min_sec,max_sec
opponent_diff,1.602913372303148,0.022345068006916692,71.73454884124685,0,0,10
opponent_diff,1.6063685538422292,0.02250103965507945,71.39085919879275,0,2,12
opponent_diff,1.6093972819271878,0.022716584227201148,70.84679922961628,0,4,14
opponent_diff,1.609536327071619,0.022949048385208864,70.13520996840106,0,6,16
opponent_diff,1.6326609091368411,0.02351451498785871,69.43204697098093,0,8,18
opponent_diff,1.655002763739602,0.024222385372553355,68.32534196301341,0,10,20
opponent_diff,1.6817457637624273,0.025187381639192603,66.7693763430162,0,12,22
opponent_diff,1.7115960499308895,0.02646636367233448,64.67061630079677,0,14,24
opponent_diff,1.743820558495735,0.028060003195235276,62.14612829380732,0,16,26
opponent_diff,1.7601711202804715,0.02978765223635361,59.090629443172894,0,18,28
opponent_diff,1.7866387713692657,0.03217217726217166,55.533660554270654,0,20,30
opponent_diff,1.7824000843784942,0.034341153498744136,51.90274358267194,0,22,32
opponent_diff,1.7617016323142052,0.03653628771672195,48.21786071899988,0,24,34
opponent_diff,1.713433274650821,0.03868983126470425,44.28639822510527,0,26,36
opponent_diff,1.6768239537294738,0.0417623992655374,40.15152345696765,0,28,38
opponent_diff,1.6437384179171632,0.04598845005278019,35.74241828177883,8.677061720094421e-280,30,40
opponent_diff,1.7018158789062976,0.05632760778042842,30.212820071112805,1.60740335323718e-200,30,35
opponent_diff,1.6319724573484768,0.0570242670290721,28.61891160330855,3.9086409448337055e-180,31,36
opponent_diff,1.5930920917291471,0.05897225164730333,27.01426598490742,1.0048210315676886e-160,32,37
opponent_diff,1.5492302755037335,0.06110533097341687,25.35343890335374,8.235018950592127e-142,33,38
opponent_diff,1.5245572230678595,0.06469188058130855,23.56643846752463,8.516861617632956e-123,34,39
opponent_diff,1.5031388968859651,0.06894118942514245,21.803205158189208,2.1632597124487695e-105,35,40
opponent_diff,1.4984114994645614,0.07499366248443931,19.980508349961863,8.139089853155292e-89,36,41
opponent_diff,1.4947401368381386,0.08229596482247246,18.162982110514992,1.0136590920708825e-73,37,42
opponent_diff,1.4347577520568149,0.08796913032190513,16.309786703660826,8.408584526366192e-60,38,43
opponent_diff,1.3245107794956783,0.0928592671103302,14.263635937616959,3.687314033877374e-46,39,44
opponent_diff,1.2273255771917644,0.10285427540488627,11.932664659396922,7.997191421820697e-33,40,45
