min_second,max_second,(Intercept),prev_opponent_diff,is_offense,is_initial_bomb_carrier_killed,is_during_attempted_plant
0,15,0.6258208964790097,1.21036206075504,-0.04261613157951106,0.10995107579236393,0.25158268905622216
3,18,0.599841518465766,1.2806102442045355,-0.10099718653282035,0.08729331752003439,0.38455303944837227
6,21,0.539796701364135,1.2799948227157256,-0.09768840273024629,0.14149648688463481,0.30090531539404
9,24,0.5043278667123275,1.2850365950490223,-0.11411435833298338,0.14277573885040099,0.347310078459824
12,27,0.4063521763556449,1.3756494902411083,-0.11157659196667717,0.11547641616279393,-0.00859510372549766
15,30,0.38764654491565587,1.4324444906647102,-0.16417765449486532,0.1460928437305558,0.17277580088402184
18,33,0.3076924160214054,1.447677252332608,-0.11456887237706784,0.12755075847354283,0.18794921514094343
21,36,0.3041531611979134,1.493689436334156,-0.11865234950562681,0.07637396193147677,0.2722514491105325
24,39,0.28746209650911214,1.531733307872898,-0.16696555941087213,0.05229271177808873,-0.14999268911980723
27,42,0.29776523763781826,1.5170482823825757,-0.21919267746647986,0.03614524057186413,-0.18106599067250945
30,45,0.283336182478618,1.4991740632528059,-0.22849004190726468,0.06363732246862015,-0.41064870141922166
33,48,0.2934680498142738,1.4766068918052584,-0.2543040561085681,0.044514980453624016,-0.4423437725230023
36,51,0.3291395704978039,1.4617568838534365,-0.4240705622596792,0.09379420043809285,-0.8600331823603993
39,54,0.38895497945464175,1.4594130307903823,-0.5047968775382498,0.03139437769613135,-0.7540106402053441
42,57,0.4156420834959305,1.430181530424725,-0.5229632145938695,0.021183072048079104,-0.5561879866050198
45,60,0.49438955956613784,1.4383051253059966,-0.6985313152055392,-0.11723994198947678,-0.5333447564605764
48,63,0.5056682537687173,1.442328941033983,-0.7177278817821862,-0.07183498361874507,-0.5825396205867195
51,66,0.5342130864485386,1.5186834086568362,-0.777162288728219,-0.0758847508241226,-0.6134225392920807
54,69,0.44343120538496356,1.5016682919309414,-0.7025121760042596,-0.06912908606856721,-0.043335760895646384
57,72,0.4624756052116886,1.5487402033598072,-0.8076194938665164,0.01941245142009673,-0.06152986655041052
60,75,0.4547263653080774,1.56481334777739,-0.8210467055135731,-0.07292287866547092,0.08052964322887801
63,78,0.47401141810354525,1.6362236238499883,-0.9844961295940892,-0.057290754019367444,0.11703007572824574
66,81,0.5260532807394563,1.5920897445504283,-1.1029136084294047,-0.24763880697945864,0.3556520479007376
69,84,0.6198070118023699,1.6842856029816058,-1.2944112562189793,-0.40361221656636104,0.2695657411131482
72,87,0.6920478888501226,1.6328912035577228,-1.345406060448285,-0.30568956694939364,0.23034036936149957
75,90,0.7173852680094053,1.7122340587687013,-1.4687067136914074,0.3446668451686175,0.5275639357010281
75,80,0.3957886698816698,2.0129006984163236,-1.0617930525971382,0.08183432373113467,0.777204698933573
76,81,0.5825089709163443,1.62742813951982,-1.329256432961378,0.01146297234860217,0.17150679026151203
77,82,0.8820760279824422,1.5223393007230923,-1.623938190582641,0.10895574878037487,-0.09444819592891666
78,83,0.8140048600715781,1.590360088440531,-1.6289874700041798,0.5780188317297829,0.14252938899945727
79,84,1.2094981922873682,1.5760497303823373,-2.0556154295549476,0.5103634951673949,0.29465209179448576
80,85,1.2206714635306681,1.375747320606246,-2.020886690527706,0.5731438743329419,-0.42018922745935644
81,86,1.3871382941254453,1.4430315295953167,-2.071854833659934,15.865397048514822,-0.5476855034571354
82,87,1.2968916949059839,1.365110042245334,-2.1857762731763297,14.881616485189246,0.3665826187521821
83,88,1.0155551744193378,1.4878127648958057,-1.9588490280747632,15.090327882211607,0.32104857259369385
84,89,2.253387836364235,1.139469968774426,-3.018788489246073,14.66822822158171,-0.5694044242866463
85,90,1.8497381021576549,1.2820335791476511,-2.7236675922483244,16.05064162864414,-0.6189754505366161
86,90,1.7948842063545964,0.9744444935848651,-2.6608179675560946,16.237535889115833,16.445642711398875
87,90,1.7322539618242623,1.5191226438711962,-3.1030416594956787,16.32983446779891,17.270918250855267
88,90,36.85548231796431,17.7529059675719,-37.26094742607249,-15.656629031841932,-15.133928041578395
